userId,username,date,content,tweetId,replyCount,retweetCount,likeCount,inReplyToUser,mentionedUsers,hashtags
344702027,wnfvl_,2023-04-04 03:00:10+00:00,"Biar dapet pemandangan begini di Economy Batik Air A320 (29row) seat mana yak. Maap norak dikit, first timer🤣 https://t.co/sgB7bDL3q2",1.64309E+18,1,0,0,,,
4280476813,96Onat,2023-04-04 02:38:21+00:00,MOment Take Off with Boeing737-800 Batik Air CGK to TRK | antrian lalu l... https://t.co/nUXpFbJLzg lewat @YouTube,1.64308E+18,0,0,0,,['YouTube'],
1913150222,RKevin_Ramdhani,2023-04-04 00:15:51+00:00,Pulang ke Jakarta bersama Batik Air ID 7630 Bangkok (DMK) - Jakarta (CGK) 💜 https://t.co/g4hC65jPW3,1.64304E+18,0,0,1,,,
81325361,yeptaja,2023-04-03 15:12:57+00:00,@man_nu01 Saya baru kejadian lagi nih hari ini mas. Gara gara handling bagasinya lambat jadi ketinggalan pas transit wkwkwk (Penerbangannya SuperAirJet ke BatikAir),1.64291E+18,0,0,0,man_nu01,['man_nu01'],
3145790342,Wwaroura,2023-04-03 13:53:20+00:00,hi i ex batik air. nightstop i cari mkn sedap and shopping je youu.. jgn la pukul rata mana-2 stewardess dn company. Diri sendiri yg memilih jln baik atau buruk. 🥰,1.64289E+18,1,2,5,,,
1.25216E+18,seo_jiwoohalu,2023-04-03 10:24:28+00:00,"@convomfs turbulensi sih turbulensi, tapi w pernah naik batik air tuebulensinya kayak naik hysteria njir, jatoh naik jatoh naik.",1.64284E+18,0,0,0,convomfs,['convomfs'],
1.55761E+18,mkambis,2023-04-03 09:04:42+00:00,batik air kok main ubah2 jadwal sih anjg???? MANA H-2 GAJELAS,1.64282E+18,0,0,0,,,
7.9301E+17,dishub_bwi,2023-04-03 04:44:58+00:00,"Flight Today ☁️
Bandara Internasional Banyuwangi

✈️ JAKARTA
BATIK AIR - ID 6591 - (A320) REG : PK-LAF
CITILINK - QG 0701 - (A320) REG : PK-GLW https://t.co/tLOg9yI1jr",1.64275E+18,0,0,0,,,
62455266,BNI,2023-04-03 04:36:52+00:00,"Kamu belum punya Kartu Kredit BNI - Batik Air? Tinggal apply online aja dan nikmati promo-promo menarik BNI Lainnya. Mudahnya proses pengajuan Kartu Kredit BNI - Batik Air melalui online via https://t.co/eBWKHSu7xy

#BNI46 #BUMNUntukIndonesia #StartsFromTheCard",1.64275E+18,0,0,0,BNI,,"['BNI46', 'BUMNUntukIndonesia', 'StartsFromTheCard']"
62455266,BNI,2023-04-03 04:36:49+00:00,"Kamu udah beli tiket buat mudik lebaran? Buruan booking aja tiketnya pakai maskapai Batik Air! Karena lagi ada Cashback hingga Rp 1,2 Juta dengan menggunakan Kartu Kredit BNI Batik Air hingga 5 April 2023. Info lebih lengkap kamu bisa klik link ini https://t.co/9GQv2XhYbR https://t.co/rZ4LAZGWXq",1.64275E+18,1,0,2,,,
