index,Review
233,terbaik nabati rasa nya yg sgt enak  . sgt di sukai oleh anak 2 sya. & bpk mertua sya yg sdh tidk ada gigi lgi. tdk bosan 2 kami mengkomsumsi nabati. setiap hari bpk mertua sya mkn nabati. 
234,Nabati yg rasanya keju mantul banget bro
235,mknan ringan yg lezat dan nikmat
236,meriah dan suka enak sehat
237,nabati wafer renyah kesukaan aku
238,Nabati tu sanggat enak bnget....anak sya aja suka bnget sma nabati 
239,Nabati mantap dan nikmat.
240,"Rasanya lezat dang Gurih apalagi rasa pink lava rasanya mengoyang di lidah, pokok y mantap bner, top bngt buat waper nabati..smga sukses slalu...."
241,"beli Terus nabati wafer udah dapat wafer banyak , enak, dapat hadiah pula "
242,Rasa nya enak... Harga terjangkau
243,"nabati rasanya enak dan saya jga anak"" semua pada suka..."
244,rasanya enak sekali saya suka2
245,"Hi, ayo buruan ikutan program Nabati Meriah dan akan ada 1000 pemenang di setiap akhir periode bulanannya ya"
246,Rasanya enak apalagi coklatny terus ad hadiahny
247,"Hi, saat ini program Nabati Meriah sudah berakhir dari tanggal 31 mei 2019, untuk kode unik yang kamu sudah miliki kamu bisa simpan dan pindai/scan di periode kedua Nabati Meriah,Yuk simak terus social media Nabati Indonesia untuk berbagai aktivitas seru selanjutnya"
248,enak di nikmati sambil gopi pagi
249,Rasanya ENAK DAN GURIH
250,hadiahnya dan nabati favorit saya
251,"Nabati itu enak,sehat dan menyenangkan�"
252,"Hi, wow jadikan selalu Nabati Meriah sebagai camilan kamu dan keluarga ya "
253,saya lebih suka nabati yg cokelat dri pd keju . nabati sangat enak buat ngemil siang/malam hari 
254,karenena nabati renyah dan enak
255,Nabati mantap abiss gak ada dua nya
256,"Hi, ada yang bisa kami bantu?"
257,and dos dos dos dodol jaka gundul
258,Coklatnya terasa pas dilidah ngena banget karna itu saya suka banget ma nabati
259,Rasanya enakk harganya juga pas
260,Harga terjangkau...rasa istimewa...
261,Enak Dn Mengenyangkan Perut
262,"Aku suka coklat,karna enak sekali pas dimulut"
263,rasanya enakkk sekali... manisnya ga nyangkut di tenggorokan tapi nyantol di hatiiii... pas buat cemilan anak kecil maupun orang dewasa... udah murah meriah ditambah enakkk ya mantuuullll manteeeppp betuuullll
264,Menarik karena bungkus nyaCoklat nya sangat tebal
265,"As Vegetable protein lover, i feel happy everytime i bite Nabati product...it's hard to forget their taste..."
266,Iyh saya suka sama nabati Rasa Keju Rasa Coklat
267,"Nabatii lezat,nikmat,sehat & bergizi."
268,"nabati, wafer renyah yang bisa dinikmati kapan dan di mana saja"
269,wafer coklat dann kejunya    super enaakkk..    gak bosenn nabati trus 
270,"Rasa all varian nabati enak banget... anak "" pun suka.."
